Year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1970,0.1774193548387097,0.09322033898305085,0.17777777777777778,0.3258333333333334,0.7609271523178809,1.5762430939226517,1.8457547169811332,3.183539094650211,3.871428571428575,3.6549342105263185,3.326646706586829,3.0441095890410983
1971,0.08064516129032258,0.07796610169491525,0.05111111111111111,0.06083333333333332,0.9350993377483443,1.2977900552486181,1.2919811320754715,1.633333333333333,2.12051282051282,2.1562500000000013,1.9625748502994023,1.7958904109589051
1972,0.0,0.03333333333333333,0.02197802197802198,0.18429752066115704,0.20065789473684212,0.8587912087912084,1.1028169014084497,1.049590163934425,1.2204379562043786,1.315409836065573,1.2197014925373129,1.1232240437158465
1973,0.0,0.0,0.0,0.1716666666666667,0.33774834437086093,1.1259668508287293,1.4797169811320752,2.375308641975311,2.4413919413919434,2.7855263157894767,2.614670658682637,2.393424657534249
1974,0.0,0.0,0.0,0.035833333333333335,0.32913907284768207,0.630939226519337,0.6806603773584905,1.1086419753086412,1.9322344322344331,2.18355263157895,2.0011976047904216,1.8312328767123311
1975,1.6419354838709677,1.3610169491525423,1.6179775280898874,1.2218487394957982,1.0299999999999994,1.2994444444444433,1.5023696682464451,2.1570247933884295,3.647058823529414,4.268646864686469,4.026126126126124,3.6832417582417567
1976,0.0,0.0,0.0032967032967032967,0.22666666666666668,0.25496688741721857,0.9569060773480662,1.9316037735849056,2.5604938271604953,2.542490842490843,2.3634868421052637,2.3131736526946116,2.116712328767124
1977,0.0,0.005084745762711864,0.008888888888888889,0.2433333333333333,0.41324503311258287,0.8337016574585634,1.3174528301886779,1.7423868312757194,1.5820512820512815,1.6986842105263158,1.641916167664671,1.5065753424657538
1978,0.061290322580645165,0.3898305084745763,0.30689655172413793,0.6350427350427349,1.220945945945946,1.6769662921348307,2.3200956937799058,3.3791666666666704,3.6088888888888926,3.4166112956810664,3.183383685800607,2.910773480662986
1979,0.0,0.4491525423728814,0.29444444444444445,0.3466666666666667,0.7573333333333331,1.1183333333333325,1.417061611374408,1.6,2.4606617647058826,2.2300330033003304,2.1201201201201196,1.9395604395604393
1980,0.0,0.0,0.36813186813186816,0.287603305785124,0.3223684210526317,0.9593406593406595,1.271830985915493,1.6135802469135814,1.7487179487179503,1.6062500000000015,1.4715568862275463,1.3567123287671246
1981,0.2935483870967742,0.15423728813559323,0.38,0.3391666666666667,0.3013245033112584,1.3883977900552487,1.9867924528301886,2.5345679012345688,3.3278388278388307,3.362828947368424,3.0802395209580866,2.818630136986304
1982,0.0,0.0,0.0,0.3433333333333333,0.7490066225165564,1.4657458563535914,2.0504716981132085,2.0679012345679024,2.492673992673994,3.756105610561055,3.4915915915915905,3.194230769230768
